Start (s),End (s),Scientific name,Common name,Confidence
12.0,15.0,Cyanistes caeruleus,Eurasian Blue Tit,0.9151
48.0,51.0,Linaria cannabina,Eurasian Linnet,0.8531
48.0,51.0,Milvus milvus,Red Kite,0.5048
51.0,54.0,Linaria cannabina,Eurasian Linnet,0.6309
9.0,12.0,Carduelis carduelis,European Goldfinch,0.5686
